FIPS,FI Rate,Low Threshold Type,High Threshold Type,Cost Per Meal,Year
01037,0.229,SNAP,other nutrition pgm,3.0175199999999998,2009
01039,0.174,SNAP,other nutrition pgm,2.5780999999999996,2009
01041,0.188,SNAP,other nutrition pgm,2.8600399999999997,2009
01043,0.157,SNAP,other nutrition pgm,2.6619200000000003,2009
01045,0.156,SNAP,other nutrition pgm,2.41808,2009
01047,0.324,SNAP,other nutrition pgm,2.5857200000000002,2009
01049,0.197,SNAP,other nutrition pgm,2.5526999999999997,2009
01051,0.151,SNAP,other nutrition pgm,2.5908,2009
01053,0.218,SNAP,other nutrition pgm,2.57556,2009
01055,0.174,SNAP,other nutrition pgm,2.413,2009
01057,0.191,SNAP,other nutrition pgm,2.54508,2009
01059,0.186,SNAP,other nutrition pgm,2.55016,2009
01061,0.167,SNAP,other nutrition pgm,2.60604,2009
01063,0.281,SNAP,other nutrition pgm,2.91846,2009
01065,0.247,SNAP,other nutrition pgm,2.9565599999999996,2009
01067,0.179,SNAP,other nutrition pgm,2.89052,2009
01069,0.163,SNAP,other nutrition pgm,2.54508,2009
01071,0.181,SNAP,other nutrition pgm,2.5857200000000002,2009
01073,0.179,SNAP,other nutrition pgm,2.40538,2009
01075,0.21,SNAP,other nutrition pgm,2.94386,2009
01077,0.17,SNAP,other nutrition pgm,2.3241,2009
01079,0.176,SNAP,other nutrition pgm,2.57556,2009
01081,0.173,SNAP,other nutrition pgm,2.5908,2009
01083,0.148,SNAP,other nutrition pgm,2.66446,2009
01085,0.292,SNAP,other nutrition pgm,3.048,2009
01087,0.256,SNAP,other nutrition pgm,3.08356,2009
01089,0.135,SNAP,other nutrition pgm,2.44856,2009
01091,0.248,SNAP,other nutrition pgm,2.54508,2009
01093,0.212,SNAP,other nutrition pgm,2.54508,2009
01095,0.164,SNAP,other nutrition pgm,2.5273,2009
01097,0.191,SNAP,other nutrition pgm,2.6289,2009
01099,0.275,SNAP,other nutrition pgm,2.5908,2009
01101,0.193,SNAP,other nutrition pgm,2.48666,2009
01103,0.162,SNAP,other nutrition pgm,2.3850599999999997,2009
01105,0.291,SNAP,other nutrition pgm,2.9489400000000003,2009
01107,0.238,SNAP,other nutrition pgm,3.07086,2009
01109,0.209,SNAP,other nutrition pgm,2.5908,2009
01111,0.213,SNAP,other nutrition pgm,2.52476,2009
01113,0.211,SNAP,other nutrition pgm,2.5780999999999996,2009
01115,0.15,SNAP,other nutrition pgm,2.5730199999999996,2009
01117,0.109,SNAP,other nutrition pgm,2.59334,2009
01119,0.303,SNAP,other nutrition pgm,3.06578,2009
01121,0.213,SNAP,other nutrition pgm,2.5857200000000002,2009
01123,0.199,SNAP,other nutrition pgm,2.57556,2009
01125,0.183,SNAP,other nutrition pgm,2.71272,2009
01127,0.171,SNAP,other nutrition pgm,2.5780999999999996,2009
01129,0.219,SNAP,other nutrition pgm,2.8701999999999996,2009
01131,0.376,SNAP,other nutrition pgm,3.2512000000000003,2009
01133,0.23,SNAP,other nutrition pgm,2.6390599999999997,2009
05001,0.245,SNAP,other nutrition pgm,2.4511,2009
05003,0.214,SNAP,other nutrition pgm,2.48412,2009
05005,0.174,SNAP,other nutrition pgm,2.5273,2009
05007,0.136,SNAP,other nutrition pgm,2.3596600000000003,2009
05009,0.163,SNAP,other nutrition pgm,2.48666,2009
05011,0.248,SNAP,other nutrition pgm,2.91592,2009
05013,0.183,SNAP,other nutrition pgm,2.90322,2009
05015,0.157,SNAP,other nutrition pgm,2.4663399999999998,2009
05017,0.285,SNAP,other nutrition pgm,2.8778200000000003,2009
05019,0.208,SNAP,other nutrition pgm,2.4892,2009
05021,0.203,SNAP,other nutrition pgm,2.54,2009
05023,0.163,SNAP,other nutrition pgm,2.5146,2009
05025,0.178,SNAP,other nutrition pgm,2.8041600000000004,2009
05027,0.212,SNAP,other nutrition pgm,2.45872,2009
05029,0.173,SNAP,other nutrition pgm,2.44602,2009
05031,0.169,SNAP,other nutrition pgm,2.41046,2009
05033,0.173,SNAP,other nutrition pgm,2.48158,2009
05035,0.245,SNAP,other nutrition pgm,2.44094,2009
05037,0.185,SNAP,other nutrition pgm,2.49682,2009
05039,0.223,SNAP,other nutrition pgm,2.57048,2009
05041,0.261,SNAP,other nutrition pgm,2.5679399999999997,2009
05043,0.227,SNAP,other nutrition pgm,2.49936,2009
05045,0.162,SNAP,other nutrition pgm,2.5019,2009
05047,0.172,SNAP,other nutrition pgm,2.5577799999999997,2009
05049,0.174,SNAP,other nutrition pgm,2.49936,2009
05051,0.168,SNAP,other nutrition pgm,2.39268,2009
05053,0.141,SNAP,other nutrition pgm,2.47904,2009
05055,0.186,SNAP,other nutrition pgm,2.47904,2009
05057,0.203,SNAP,other nutrition pgm,2.43332,2009
05059,0.173,SNAP,other nutrition pgm,2.47904,2009
05061,0.194,SNAP,other nutrition pgm,2.46126,2009
05063,0.179,SNAP,other nutrition pgm,2.44348,2009
05065,0.189,SNAP,other nutrition pgm,2.68478,2009
05067,0.238,SNAP,other nutrition pgm,2.46888,2009
05069,0.229,SNAP,other nutrition pgm,2.46888,2009
05071,0.172,SNAP,other nutrition pgm,2.47142,2009
05073,0.218,SNAP,other nutrition pgm,2.93878,2009
05075,0.199,SNAP,other nutrition pgm,2.57556,2009
05077,0.253,SNAP,other nutrition pgm,2.85496,2009
05079,0.224,SNAP,other nutrition pgm,2.49936,2009
05081,0.171,SNAP,other nutrition pgm,2.49174,2009
05083,0.179,SNAP,other nutrition pgm,2.5476199999999998,2009
05085,0.144,SNAP,other nutrition pgm,2.47142,2009
05087,0.159,SNAP,other nutrition pgm,2.61112,2009
05089,0.202,SNAP,other nutrition pgm,2.49174,2009
05091,0.168,SNAP,other nutrition pgm,2.53492,2009
05093,0.257,SNAP,other nutrition pgm,2.48666,2009
05095,0.213,SNAP,other nutrition pgm,2.17932,2009
05097,0.162,SNAP,other nutrition pgm,2.6619200000000003,2009
05099,0.207,SNAP,other nutrition pgm,2.8803599999999996,2009
05101,0.186,SNAP,other nutrition pgm,2.93878,2009
05103,0.205,SNAP,other nutrition pgm,2.50698,2009
05105,0.158,SNAP,other nutrition pgm,2.8397200000000002,2009
05107,0.27,SNAP,other nutrition pgm,2.5019,2009
05109,0.171,SNAP,other nutrition pgm,2.8067,2009
05111,0.2,SNAP,other nutrition pgm,2.48412,2009
05113,0.172,SNAP,other nutrition pgm,2.49682,2009
05115,0.169,SNAP,other nutrition pgm,2.4663399999999998,2009
05117,0.183,SNAP,other nutrition pgm,2.8143200000000004,2009
05119,0.173,SNAP,other nutrition pgm,2.47142,2009
05121,0.187,SNAP,other nutrition pgm,2.47904,2009
05123,0.257,SNAP,other nutrition pgm,2.5019,2009
05125,0.139,SNAP,other nutrition pgm,2.46126,2009
05127,0.184,SNAP,other nutrition pgm,2.5857200000000002,2009
05129,0.177,SNAP,other nutrition pgm,2.62382,2009
05131,0.167,SNAP,other nutrition pgm,2.3622,2009
05133,0.157,SNAP,other nutrition pgm,2.50444,2009
05135,0.19,SNAP,other nutrition pgm,2.47396,2009
05137,0.2,SNAP,other nutrition pgm,2.4663399999999998,2009
05139,0.216,SNAP,other nutrition pgm,2.50952,2009
05141,0.193,SNAP,other nutrition pgm,2.49428,2009
05143,0.151,SNAP,other nutrition pgm,2.3241,2009
05145,0.171,SNAP,other nutrition pgm,2.51714,2009
05147,0.238,SNAP,other nutrition pgm,2.9565599999999996,2009
05149,0.168,SNAP,other nutrition pgm,2.47142,2009
04001,0.285,SNAP,SNAP,2.59842,2009
04003,0.166,SNAP,SNAP,2.3749000000000002,2009
04005,0.173,SNAP,SNAP,2.5273,2009
04007,0.2,SNAP,SNAP,2.43332,2009
04009,0.225,SNAP,SNAP,2.40284,2009
04011,0.234,SNAP,SNAP,2.53492,2009
04012,0.192,SNAP,SNAP,2.39776,2009
04013,0.162,SNAP,SNAP,2.4282399999999997,2009
04015,0.191,SNAP,SNAP,2.40284,2009
04017,0.245,SNAP,SNAP,2.44856,2009
04019,0.17,SNAP,SNAP,2.48158,2009
04021,0.189,SNAP,SNAP,2.40538,2009
04023,0.226,SNAP,SNAP,2.23012,2009
04025,0.175,SNAP,SNAP,2.41554,2009
04027,0.279,SNAP,SNAP,2.3164800000000003,2009
06001,0.159,SNAP,other nutrition pgm,2.8701999999999996,2009
06003,0.189,SNAP,other nutrition pgm,2.3647400000000003,2009
06005,0.161,SNAP,other nutrition pgm,3.16484,2009
06007,0.196,SNAP,other nutrition pgm,2.58826,2009
06009,0.182,SNAP,other nutrition pgm,3.2893,2009
06011,0.224,SNAP,other nutrition pgm,3.30962,2009
06013,0.145,SNAP,other nutrition pgm,2.7813,2009
06015,0.198,SNAP,other nutrition pgm,2.88544,2009
06017,0.15,SNAP,other nutrition pgm,3.4340800000000002,2009
06019,0.216,SNAP,other nutrition pgm,2.38252,2009
06021,0.206,SNAP,other nutrition pgm,2.50444,2009
06023,0.185,SNAP,other nutrition pgm,2.52476,2009
06025,0.314,SNAP,other nutrition pgm,2.21488,2009
06027,0.147,SNAP,other nutrition pgm,3.42138,2009
06029,0.21,SNAP,other nutrition pgm,2.42062,2009
06031,0.209,SNAP,other nutrition pgm,2.39522,2009
06033,0.222,SNAP,other nutrition pgm,3.00736,2009
06035,0.19,SNAP,other nutrition pgm,2.89814,2009
06037,0.174,SNAP,other nutrition pgm,2.6416,2009
06039,0.196,SNAP,other nutrition pgm,3.03784,2009
06041,0.115,SNAP,other nutrition pgm,3.0403800000000003,2009
06043,0.157,SNAP,other nutrition pgm,3.6499800000000002,2009
06045,0.172,SNAP,other nutrition pgm,3.0302200000000004,2009
06047,0.232,SNAP,other nutrition pgm,2.54254,2009
06049,0.194,SNAP,other nutrition pgm,4.01066,2009
06051,0.152,SNAP,other nutrition pgm,3.52806,2009
06053,0.165,SNAP,other nutrition pgm,2.50698,2009
06055,0.132,SNAP,other nutrition pgm,3.01244,2009
06057,0.151,SNAP,other nutrition pgm,3.57886,2009
06059,0.131,SNAP,other nutrition pgm,2.6720800000000002,2009
06061,0.14,SNAP,other nutrition pgm,2.85496,2009
06063,0.207,SNAP,other nutrition pgm,3.4086800000000004,2009
06065,0.18,SNAP,other nutrition pgm,2.45618,2009
06067,0.172,SNAP,other nutrition pgm,2.52222,2009
06069,0.175,SNAP,other nutrition pgm,3.2613600000000003,2009
06071,0.182,SNAP,other nutrition pgm,2.43586,2009
06073,0.148,SNAP,other nutrition pgm,2.62636,2009
06075,0.145,SNAP,other nutrition pgm,3.16484,2009
06077,0.205,SNAP,other nutrition pgm,2.5628599999999997,2009
06079,0.151,SNAP,other nutrition pgm,2.8092400000000004,2009
06081,0.122,SNAP,other nutrition pgm,2.78638,2009
06083,0.141,SNAP,other nutrition pgm,2.55016,2009
06085,0.143,SNAP,other nutrition pgm,2.7482800000000003,2009
06087,0.16,SNAP,other nutrition pgm,2.91592,2009
06089,0.206,SNAP,other nutrition pgm,2.48412,2009
06091,0.183,SNAP,other nutrition pgm,3.57886,2009
06093,0.208,SNAP,other nutrition pgm,2.97688,2009
06095,0.159,SNAP,other nutrition pgm,2.48158,2009
06097,0.142,SNAP,other nutrition pgm,2.79146,2009
06099,0.207,SNAP,other nutrition pgm,2.53492,2009
06101,0.21,SNAP,other nutrition pgm,2.36728,2009
06103,0.212,SNAP,other nutrition pgm,2.50698,2009
06105,0.228,SNAP,other nutrition pgm,3.0962600000000005,2009
06107,0.219,SNAP,other nutrition pgm,2.44348,2009
06109,0.175,SNAP,other nutrition pgm,3.1064200000000004,2009
06111,0.137,SNAP,other nutrition pgm,2.78638,2009
06113,0.175,SNAP,other nutrition pgm,2.5831799999999996,2009
06115,0.228,SNAP,other nutrition pgm,2.31394,2009
08001,0.153,SNAP,other nutrition pgm,2.40792,2009
08003,0.178,SNAP,other nutrition pgm,2.54254,2009
08005,0.145,SNAP,other nutrition pgm,2.52222,2009
08007,0.154,SNAP,other nutrition pgm,3.0251400000000004,2009
08009,0.128,SNAP,other nutrition pgm,2.71018,2009
08011,0.191,SNAP,other nutrition pgm,2.39268,2009
08013,0.133,SNAP,other nutrition pgm,2.7051,2009
08014,0.116,SNAP,other nutrition pgm,2.8016199999999998,2009
08015,0.141,SNAP,other nutrition pgm,2.60858,2009
08017,0.12,SNAP,other nutrition pgm,2.85242,2009
08019,0.125,SNAP,other nutrition pgm,3.1724600000000005,2009
08021,0.163,SNAP,other nutrition pgm,2.48666,2009
08023,0.195,SNAP,other nutrition pgm,2.51714,2009
08025,0.199,SNAP,other nutrition pgm,2.44094,2009
08027,0.154,SNAP,other nutrition pgm,2.45872,2009
08029,0.147,SNAP,other nutrition pgm,2.51206,2009
08031,0.17,SNAP,other nutrition pgm,2.59842,2009
08033,0.216,SNAP,other nutrition pgm,2.50698,2009
08035,0.099,SNAP,other nutrition pgm,2.53746,2009
08037,0.126,SNAP,other nutrition pgm,2.52476,2009
08041,0.147,SNAP,other nutrition pgm,2.47142,2009
08039,0.117,SNAP,other nutrition pgm,2.4765,2009
08043,0.172,SNAP,other nutrition pgm,2.44094,2009
08045,0.125,SNAP,other nutrition pgm,2.70256,2009
08047,0.129,SNAP,other nutrition pgm,3.13944,2009
08049,0.128,SNAP,other nutrition pgm,3.1165800000000004,2009
08051,0.132,SNAP,other nutrition pgm,2.92862,2009
08053,0.085,SNAP,other nutrition pgm,2.7482800000000003,2009
08055,0.172,SNAP,other nutrition pgm,2.84226,2009
08057,0.132,SNAP,other nutrition pgm,3.27152,2009
08059,0.128,SNAP,other nutrition pgm,2.6035,2009
08061,0.119,SNAP,other nutrition pgm,2.4257,2009
08063,0.122,SNAP,other nutrition pgm,2.85242,2009
08067,0.124,SNAP,other nutrition pgm,2.81686,2009
08065,0.184,SNAP,other nutrition pgm,3.0734,2009
08069,0.14,SNAP,other nutrition pgm,2.55524,2009
08071,0.161,SNAP,other nutrition pgm,2.43586,2009
08073,0.14,SNAP,other nutrition pgm,2.8321,2009
08075,0.133,SNAP,other nutrition pgm,2.43586,2009
08077,0.154,SNAP,other nutrition pgm,2.48158,2009
08079,0.117,SNAP,other nutrition pgm,2.9972,2009
08081,0.136,SNAP,other nutrition pgm,2.51206,2009
08083,0.161,SNAP,other nutrition pgm,2.50698,2009
08085,0.149,SNAP,other nutrition pgm,2.6416,2009
08087,0.131,SNAP,other nutrition pgm,2.413,2009
08089,0.169,SNAP,other nutrition pgm,2.39268,2009
08091,0.114,SNAP,other nutrition pgm,2.66954,2009
08093,0.124,SNAP,other nutrition pgm,2.9540200000000003,2009
08095,0.111,SNAP,other nutrition pgm,2.86766,2009
08097,0.12,SNAP,other nutrition pgm,4.3434,2009
08099,0.16,SNAP,other nutrition pgm,2.44856,2009
08101,0.162,SNAP,other nutrition pgm,2.3622,2009
08103,0.104,SNAP,other nutrition pgm,3.82016,2009
08105,0.149,SNAP,other nutrition pgm,2.9972,2009
08107,0.118,SNAP,other nutrition pgm,3.1775399999999996,2009
08109,0.191,SNAP,other nutrition pgm,2.66954,2009
08111,0.14,SNAP,other nutrition pgm,2.87274,2009
08113,0.134,SNAP,other nutrition pgm,2.6162,2009
08115,0.121,SNAP,other nutrition pgm,2.6339799999999998,2009
08117,0.111,SNAP,other nutrition pgm,3.1724600000000005,2009
08119,0.136,SNAP,other nutrition pgm,2.54,2009
08121,0.125,SNAP,other nutrition pgm,2.413,2009
08123,0.152,SNAP,other nutrition pgm,2.47396,2009
08125,0.109,SNAP,other nutrition pgm,2.921,2009
09001,0.112,SNAP,SNAP,2.96672,2009
09003,0.133,SNAP,SNAP,2.6797,2009
09005,0.109,SNAP,SNAP,2.88544,2009
09007,0.101,SNAP,SNAP,3.29438,2009
09009,0.136,SNAP,SNAP,2.61366,2009
09011,0.112,SNAP,SNAP,2.70002,2009
09013,0.102,SNAP,SNAP,2.8346400000000003,2009
09015,0.132,SNAP,SNAP,2.6670000000000003,2009
11001,0.158,SNAP,SNAP,3.40614,2009
10001,0.129,SNAP,SNAP,2.44094,2009
10003,0.121,SNAP,SNAP,2.69494,2009
10005,0.121,SNAP,SNAP,2.6492199999999997,2009
12001,0.181,SNAP,SNAP,2.7279600000000004,2009
12003,0.183,SNAP,SNAP,2.4003,2009
12005,0.16,SNAP,SNAP,2.5577799999999997,2009
12007,0.168,SNAP,SNAP,2.42062,2009
12009,0.16,SNAP,SNAP,2.4892,2009
12011,0.16,SNAP,SNAP,2.7279600000000004,2009
12013,0.186,SNAP,SNAP,2.21488,2009
12015,0.169,SNAP,SNAP,2.52476,2009
12017,0.184,SNAP,SNAP,2.6797,2009
12019,0.144,SNAP,SNAP,2.53746,2009
12021,0.159,SNAP,SNAP,2.64668,2009
12023,0.178,SNAP,SNAP,2.53238,2009
12027,0.185,SNAP,SNAP,2.43586,2009
12029,0.198,SNAP,SNAP,2.61874,2009
12031,0.183,SNAP,SNAP,2.50444,2009
12033,0.18,SNAP,SNAP,2.47396,2009
12035,0.198,SNAP,SNAP,2.71272,2009
12037,0.179,SNAP,SNAP,2.70764,2009
12039,0.227,SNAP,SNAP,2.3749000000000002,2009
12041,0.164,SNAP,SNAP,2.6390599999999997,2009
12043,0.178,SNAP,SNAP,2.9565599999999996,2009
12045,0.183,SNAP,SNAP,2.7254199999999997,2009
12047,0.21,SNAP,SNAP,2.78892,2009
12049,0.193,SNAP,SNAP,2.4257,2009
12051,0.233,SNAP,SNAP,2.45872,2009
12053,0.184,SNAP,SNAP,2.49682,2009
12055,0.185,SNAP,SNAP,2.54254,2009
12057,0.172,SNAP,SNAP,2.5628599999999997,2009
12059,0.169,SNAP,SNAP,2.78384,2009
12061,0.186,SNAP,SNAP,2.6035,2009
12063,0.181,SNAP,SNAP,2.49174,2009
12065,0.187,SNAP,SNAP,2.70764,2009
12067,0.158,SNAP,SNAP,2.77368,2009
12069,0.166,SNAP,SNAP,2.55524,2009
12071,0.173,SNAP,SNAP,2.60096,2009
12073,0.18,SNAP,SNAP,2.52984,2009
12075,0.199,SNAP,SNAP,2.46126,2009
12077,0.163,SNAP,SNAP,2.3876,2009
12079,0.22,SNAP,SNAP,2.3215600000000003,2009
12081,0.172,SNAP,SNAP,2.6339799999999998,2009
12083,0.193,SNAP,SNAP,2.49682,2009
12085,0.163,SNAP,SNAP,2.85242,2009
12086,0.176,SNAP,SNAP,2.74066,2009
12087,0.128,SNAP,SNAP,3.13944,2009
12089,0.147,SNAP,SNAP,2.6568400000000003,2009
12091,0.135,SNAP,SNAP,2.5146,2009
12093,0.194,SNAP,SNAP,2.50444,2009
12095,0.17,SNAP,SNAP,2.55524,2009
12097,0.169,SNAP,SNAP,2.41808,2009
12099,0.168,SNAP,SNAP,2.7482800000000003,2009
12101,0.174,SNAP,SNAP,2.58826,2009
12103,0.169,SNAP,SNAP,2.62128,2009
12105,0.182,SNAP,SNAP,2.46888,2009
12107,0.215,SNAP,SNAP,2.46888,2009
12109,0.133,SNAP,SNAP,2.90322,2009
12111,0.193,SNAP,SNAP,2.4765,2009
12113,0.147,SNAP,SNAP,2.59842,2009
12115,0.163,SNAP,SNAP,2.79654,2009
12117,0.15,SNAP,SNAP,2.5628599999999997,2009
12119,0.167,SNAP,SNAP,2.48412,2009
12121,0.183,SNAP,SNAP,2.4663399999999998,2009
12123,0.211,SNAP,SNAP,2.4257,2009
12125,0.171,SNAP,SNAP,2.74066,2009
12127,0.174,SNAP,SNAP,2.60096,2009
12129,0.144,SNAP,SNAP,2.4511,2009
12131,0.145,SNAP,SNAP,2.78638,2009
12133,0.194,SNAP,SNAP,2.40538,2009
13001,0.197,SNAP,other nutrition pgm,2.39776,2009
13003,0.245,SNAP,other nutrition pgm,2.16154,2009
13005,0.167,SNAP,other nutrition pgm,2.2606,2009
13007,0.216,SNAP,other nutrition pgm,2.48412,2009
13009,0.229,SNAP,other nutrition pgm,2.49936,2009
13011,0.147,SNAP,other nutrition pgm,2.4765,2009
13013,0.168,SNAP,other nutrition pgm,2.5831799999999996,2009
13015,0.181,SNAP,other nutrition pgm,2.51714,2009
13017,0.258,SNAP,other nutrition pgm,2.40538,2009
13019,0.216,SNAP,other nutrition pgm,2.29362,2009
13021,0.212,SNAP,other nutrition pgm,2.413,2009
13023,0.196,SNAP,other nutrition pgm,2.4663399999999998,2009
13025,0.181,SNAP,other nutrition pgm,2.6619200000000003,2009
13027,0.178,SNAP,other nutrition pgm,2.25806,2009
13029,0.135,SNAP,other nutrition pgm,2.6441399999999997,2009
13031,0.206,SNAP,other nutrition pgm,2.4511,2009
13033,0.234,SNAP,other nutrition pgm,2.3545800000000003,2009
13035,0.184,SNAP,other nutrition pgm,2.4663399999999998,2009
13037,0.245,SNAP,other nutrition pgm,2.79146,2009
13039,0.162,SNAP,other nutrition pgm,2.4892,2009
13043,0.186,SNAP,other nutrition pgm,2.3266400000000003,2009
13045,0.182,SNAP,other nutrition pgm,2.48412,2009
13047,0.143,SNAP,other nutrition pgm,2.29362,2009
13049,0.197,SNAP,other nutrition pgm,2.23012,2009
13051,0.178,SNAP,other nutrition pgm,2.48158,2009
13053,0.222,SNAP,other nutrition pgm,2.11328,2009
13055,0.21,SNAP,other nutrition pgm,2.4663399999999998,2009
13057,0.129,SNAP,other nutrition pgm,2.50952,2009
13059,0.21,SNAP,other nutrition pgm,2.5628599999999997,2009
13061,0.233,SNAP,other nutrition pgm,2.7813,2009
13063,0.21,SNAP,other nutrition pgm,2.2606,2009
13065,0.22,SNAP,other nutrition pgm,2.20726,2009
13067,0.147,SNAP,other nutrition pgm,2.49174,2009
13069,0.24,SNAP,other nutrition pgm,2.31902,2009
13071,0.191,SNAP,other nutrition pgm,2.413,2009
13073,0.12,SNAP,other nutrition pgm,2.5577799999999997,2009
13075,0.222,SNAP,other nutrition pgm,2.25298,2009
13077,0.154,SNAP,other nutrition pgm,2.5654,2009
13079,0.198,SNAP,other nutrition pgm,2.45364,2009
13081,0.25,SNAP,other nutrition pgm,2.3876,2009
13083,0.167,SNAP,other nutrition pgm,2.39268,2009
13085,0.149,SNAP,other nutrition pgm,2.50444,2009
13087,0.229,SNAP,other nutrition pgm,2.45872,2009
13089,0.193,SNAP,other nutrition pgm,2.46888,2009
13091,0.21,SNAP,other nutrition pgm,2.43078,2009
13093,0.23,SNAP,other nutrition pgm,2.7228800000000004,2009
13095,0.237,SNAP,other nutrition pgm,2.4257,2009
13097,0.174,SNAP,other nutrition pgm,2.44094,2009
13099,0.235,SNAP,other nutrition pgm,2.3495000000000004,2009
13101,0.182,SNAP,other nutrition pgm,2.76098,2009
13103,0.143,SNAP,other nutrition pgm,2.45872,2009
13105,0.217,SNAP,other nutrition pgm,2.35712,2009
13107,0.218,SNAP,other nutrition pgm,2.3545800000000003,2009
13109,0.195,SNAP,other nutrition pgm,2.44348,2009
13111,0.165,SNAP,other nutrition pgm,2.89306,2009
13113,0.123,SNAP,other nutrition pgm,2.52222,2009
13115,0.185,SNAP,other nutrition pgm,2.41554,2009
13117,0.111,SNAP,other nutrition pgm,2.7051,2009
13119,0.192,SNAP,other nutrition pgm,2.43078,2009
13121,0.186,SNAP,other nutrition pgm,2.6670000000000003,2009
13123,0.183,SNAP,other nutrition pgm,2.5146,2009
13125,0.19,SNAP,other nutrition pgm,2.77622,2009
13127,0.165,SNAP,other nutrition pgm,2.71526,2009
13129,0.189,SNAP,other nutrition pgm,2.47904,2009
13131,0.199,SNAP,other nutrition pgm,2.40538,2009
13133,0.214,SNAP,other nutrition pgm,2.91846,2009
13135,0.144,SNAP,other nutrition pgm,2.3901399999999997,2009
13137,0.171,SNAP,other nutrition pgm,2.6416,2009
13139,0.151,SNAP,other nutrition pgm,2.52222,2009
13141,0.304,SNAP,other nutrition pgm,2.9514799999999997,2009
13143,0.192,SNAP,other nutrition pgm,2.4765,2009
13145,0.135,SNAP,other nutrition pgm,3.08102,2009
13147,0.216,SNAP,other nutrition pgm,2.49174,2009
13149,0.2,SNAP,other nutrition pgm,2.89814,2009
13151,0.152,SNAP,other nutrition pgm,2.41554,2009
13153,0.147,SNAP,other nutrition pgm,2.49936,2009
13155,0.265,SNAP,other nutrition pgm,2.24028,2009
13157,0.171,SNAP,other nutrition pgm,2.59842,2009
13159,0.201,SNAP,other nutrition pgm,2.52222,2009
13161,0.224,SNAP,other nutrition pgm,2.4231599999999998,2009
13163,0.271,SNAP,other nutrition pgm,2.41554,2009
13165,0.276,SNAP,other nutrition pgm,2.25044,2009
13167,0.241,SNAP,other nutrition pgm,2.82702,2009
13169,0.164,SNAP,other nutrition pgm,2.5476199999999998,2009
13171,0.227,SNAP,other nutrition pgm,2.51968,2009
13173,0.185,SNAP,other nutrition pgm,2.3114,2009
13175,0.213,SNAP,other nutrition pgm,2.4282399999999997,2009
13177,0.13,SNAP,other nutrition pgm,2.54254,2009
13179,0.181,SNAP,other nutrition pgm,2.37744,2009
13181,0.214,SNAP,other nutrition pgm,2.7940000000000005,2009
13183,0.154,SNAP,other nutrition pgm,2.66446,2009
13185,0.186,SNAP,other nutrition pgm,2.43332,2009
13187,0.178,SNAP,other nutrition pgm,2.47396,2009
13193,0.265,SNAP,other nutrition pgm,2.26314,2009
13195,0.163,SNAP,other nutrition pgm,2.45618,2009
13197,0.222,SNAP,other nutrition pgm,2.7813,2009
13189,0.218,SNAP,other nutrition pgm,2.4384,2009
13191,0.193,SNAP,other nutrition pgm,2.75082,2009
13199,0.223,SNAP,other nutrition pgm,2.46888,2009
13201,0.181,SNAP,other nutrition pgm,2.8956,2009
